"Name","Dates associated with name","Type of name","Role","Other names","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"Ballard, James Graham, writer","1930-2009","person","portrait subject","Godwin, Fay, photographer, 1931-2005 [portrait subject]","041-003203506","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x000301","","J. G. Ballard, 1984. Photographer: Godwin, Fay","","","","","","","1984","","1 item ; Dimensions: 303 mm x 238 mm","","Visual Arts. Godwin Photo 2(25)","Novelists ; Occupations ; United Kingdom, Europe ; Writers","","","Inscription: Handwritten in pencil on verso: 2/ 5960.5.26/ N/ 23./ ½ Ad. Genre: Portrait Photography. Half length portrait of Ballard standing in front of a plain interior wall; he wears a striped shirt and leather jacket with the bottom button fastened. He has his hands in his trouser pockets and is turned slightly towards the left with his gaze avoiding the camera. (One of four copies.)",""
"Ballard, James Graham, writer","1930-2009","person","portrait subject","Godwin, Fay, photographer, 1931-2005 [portrait subject]","041-003203507","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x000302","","J. G. Ballard 1984. Photographer: Godwin, Fay","","","","","","","1984","","1 item ; Dimensions: 303 mm x 238 mm","","Visual Arts. Godwin Photo 2(26)","Novelists ; Occupations ; United Kingdom, Europe ; Writers","","","Inscription: Handwritten in pencil on verso: 5/ 5960.5.26/ N. Genre: Portrait Photography. Half length portrait of Ballard standing in front of a plain interior wall; he wears a striped shirt and leather jacket with the bottom button fastened. He has his hands in his trouser pockets and is turned slightly towards the left with his gaze avoiding the camera. (One of four copies.)",""
"Ballard, James Graham, writer","1930-2009","person","portrait subject","Godwin, Fay, photographer, 1931-2005 [portrait subject]","041-003203508","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x000303","","J. G. Ballard, 1984. Photographer: Godwin, Fay","","","","","","","1984","","1 item ; Dimensions: 303 mm x 238 mm","","Visual Arts. Godwin Photo 2(27)","Novelists ; Occupations ; United Kingdom, Europe ; Writers","","","Inscription: Handwritten in pencil on verso: 6/ 5960.5.26/ N. Genre: Portrait Photography. Half length portrait of Ballard standing in front of a plain interior wall; he wears a striped shirt and leather jacket with the bottom button fastened. He has his hands in his trouser pockets and is turned slightly towards the left with his gaze avoiding the camera. (One of four copies.)",""
"Ballard, James Graham, writer","1930-2009","person","portrait subject","Godwin, Fay, photographer, 1931-2005 [portrait subject]","041-003204111","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x00055e","","J G Ballard [1976]. Photographer: Godwin, Fay","","","","","","","1976","","1 item ; Dimensions: 354 mm x 279 mm","","Visual Arts. Godwin Photo 3(4)","Novelists ; Occupations ; United Kingdom, Europe ; Writers","","","Inscription: Godwin's signature on mount. Handwritten in pencil on verso: J G Ballard. Genre: Portrait Photography. Close-up of Ballad with his face turned slightly to the left and is also from the left; he wears a shirt with rows of white polka dots and a leather jacket. Dry mounted on board with Godwin's signature, image size 272 x 181 mm",""
"Ballard, James Graham, writer","1930-2009","person","portrait subject","Godwin, Fay, photographer, 1931-2005 [portrait subject]","041-003204171","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x00059a","","J G Ballard 1984. Photographer: Godwin, Fay","","","","","","","1984","","1 item ; Dimensions: 279 mm x 355 mm","","Visual Arts. Godwin Photo 4(2)","Novelists ; Occupations ; United Kingdom, Europe ; Writers","","","Inscription: Inscribed in pencil on verso: 3/ 5960.5.26/ N/ 22/ I min Ad/ J G Ballard 84/ © Fay Godwin [signature]. Genre: Portrait Photography. Half length portrait of Ballard standing in front of a plain interior wall; he wears a striped shirt and leather jacket with the bottom button fastened. He has his hands in his trouser pockets and is turned slightly towards the left with his gaze avoiding the camera. Image size 275 x 182 mm",""
"Ballard, James Graham, writer","1930-2009","person","portrait subject","Godwin, Fay, photographer, 1931-2005 [portrait subject]","041-003204205","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x0005bc","","Portraits of J.G. Ballard: correspondence, contact sheets and prints. Photographer: Godwin, Fay","","","","","","","1976-1987","","1 item","","Visual Arts. Godwin Photo 5/11(1)","England, United Kingdom ; Novelists ; Occupations ; Writers","","","Genre: Portrait Photography. Correspondence 1977-87. Fourteen 35mm contact sheets from two sessions in 1976/7 (films 2744, 2745, 2746, 2747) and 1984 (films 5947, 5948, 5949, 5950, 5950A, 5959, 5959A, 5960, 5962, 5963). Fourteen loose 203 x 254 mm prints: 2744-3-14 (6 copies); 2744-6-31 (4 copies); 2746-2-34a; 5960-5-26; 5959-6-27 (2 copies). 59 loose 178 x 127 mm prints: 2744-2-10 (9 copies); 2744-3-14 (2 copies); 2744-3-17 (4 copies); 2744-4-24 (4 copies); 2744-5-27 (3 copies); 2744-6-31 (2 copies); 2746-2-35; 2746-3-26a (3 copies); 2747-1-35a (7 copies); 2747-3-22a (3 copies); 5947-7-35a; 5950-4-18a; 5950-6-28 (4 copies); 5959-7-33; 5959-6-27 (3 copies); 5959a-1-36; 5960-5-26 (2 copies); 5960-6-30 (4 copies); 5962-6-30; 5963-3-16",""
"Ballard, James Graham, writer","1930-2009","person","portrait subject","Godwin, Fay, photographer, 1931-2005 [portrait subject]","041-003204875","Item. Photographs","","","","ark:/81055/vdc_100026758446.0x00085a","","Barbican Exhibition Print: J.G. Ballard, 1984. Photographer: Godwin, Fay","","","","","","","1984","","1 item ; Dimensions: 304 mm x 237 mm","","Visual Arts. Godwin Photo 6/2(43)","England, United Kingdom ; Occupations ; Television Broadcasters ; Writers","","","Genre: Portrait Photography. Half length portrait of Ballard standing in front of a plain interior wall; he wears a striped shirt and leather jacket with the bottom button fastened. He has his hands in his trouser pockets and is turned slightly towards the left with his gaze avoiding the camera. Mounted on card 303 x 405 mm, inscribed '043/ 5960-26' and '18'. Exhibited in Barbican Gallery, Room One, (Literary Portraits)",""
"Barber, Lynn, journalist","1944-","person","interviewer","Ballard, James Graham, writer, 1930-2009 [interviewer]","040-003316462","File. Archives and Manuscripts","","","","ark:/81055/vdc_100033358754.0x000001","","Harley Cokeliss: Papers relating to his film about J. G. Ballard","","","","","","","1970-71","","1 file","","Western Manuscripts. Add MS 89171/1","","","English","(1). 'Crash! The Obsession of a Writer'. Initial treatment (typed) prepared by Harley Cokeliss for BBC approval to progress the film. The narration combines extracts from Ballard, The Atrocity Exhibition (1970), and extracts from an interview conducted by Cokeliss on 18 October 1970. (5 x A4 photocopy sheets.); (2). Typed letter signed from Ballard to Cokeliss, 3 December 1970 (2 sheets). 'Am still working on the script, which should be with you by monday morning. However, from your point of view here are the basic scenes which you will need, either for live filming with myself, or from existing newsreel material.' Ten numbered 'scenes' follow, the first six of which are marked with an asterisk (blue ink) as 'those which you might want me to appear in'; (3). Draft script by Ballard. 10 sheets typed [December 1970]. The draft is entitled: 'Crash', prepared 'for Harley Cokeliss / Review / BBC-TV'. The first page of the script is annotated in the hand of Cokeliss, against the scene 'Ballard driving his car along highway': 'shoot at Dusk just as lights goes [sic] on'; (4). 'Camera Script'. BBC document (9 sheets, yellow paper). The Camera Script includes the introduction by the programme's editor and presenter, James Mossman ('Jim'). Transmission: 12 February 1971; (5). The papers relating to the film are supplemented by a contemporaneous document originally in Cokeliss's possession: the 'Author's proof' of an interview with J. G. Ballard published in Penthouse, Vol. 5, No. 5 (1970), pp. 26-30. The proof comprises 7 long sheets. The corrections (in blue ink) are typographic. Annotations to the proof do not appear to be in Ballard's hand (e.g. question reformulated, green ink, sheet 5). The interviewer (styled in the proofs as simply 'Penthouse') was Lynn Barber. The interview as published is reprinted in Sellars and O'Hara (eds.), Extreme Metaphors: Interviews with J.G. Ballard 1967-2008 (2012). However, there are some remarks by Ballard in the proof (sheets 1, 4, 5, 6, 7) that were not included in the published interview",""
"Barrado, Ana","","person","","Ballard, J. G., 1930-2009 [person] ; Vale, V. [person] ; Barrado, Ana [person]","013086488","Monograph","Language material ; Text","Volume","GBA505293","","9781889307121","Quotes","","","","United States of America","San Francisco, California","Search","2004","","414 pages, illustrations, 18 cm","828.91402","YK.2007.a.11243","Ballard, J. G, 1930-2009--Quotations","Quotation or maxim","English","",""
"Baxter, Jeannette","","person","","Baxter, Jeannette [person] ; Wymer, Rowland [person]","015813207","Monograph","Language material ; Text","Volume","GBB161576","","9780230278127","J.G. Ballard : visions and revisions","","","","England","Basingstoke","Palgrave Macmillan","2012","","x, 255 pages, 23 cm","823.914","YC.2013.a.7839","Science fiction, English--History and criticism ; Ballard, J. G, 1930-2009--Criticism and interpretation","","English","",""
"Baxter, Jeannette","","person","","Baxter, Jeannette [person]","014708430","Monograph","Language material ; Text","Volume","GBA8A5764","","9780826497253 ; 9780826497260","J.G. Ballard","","Contemporary critical perspectives","","England","London","Continuum","2008","","xvii, 151 pages, 25 cm","823.914","YC.2010.a.8207 ; m11/.11306","Ballard, J. G, 1930-2009--Criticism and interpretation","","English","",""
"Baxter, Jeannette","","person","","Baxter, Jeannette [person]","014771483","Monograph","Language material ; Text","Volume","GBA8B6288","","9780754662679","J.G. Ballard's surrealist imagination : spectacular authorship","","","","England","Farnham","Ashgate","2009","","xi, 243 pages, illustrations, 24 cm","823.914","YC.2009.a.8685 ; m09/.25321","Surrealism (Literature) ; Science fiction, English--History and criticism ; Ballard, J. G, 1930-2009--Criticism and interpretation","","English","",""
"Baxter, Jeannette","","person","","Baxter, Jeannette [person]","018137848","Monograph","Language material ; Text","Online resource","GBB7J7739","","9781351925815","J.G. Ballard's surrealist imagination : spectacular authorship","","","","","","Routledge","2016","","1 online resource (256 pages)","823.914","ELD.DS.104082","Surrealism (Literature) ; Science fiction, English--History and criticism ; Ballard, J. G, 1930-2009--Criticism and interpretation","","English","",""
"Baxter, Jeannette","","person","","Baxter, Jeannette [person]","019388553","Monograph","Language material ; Text","Online resource","GBB986875","","9781282875401 ; 9781441163622","J.G. Ballard","Death at work : the cinematic imagination of J.G. Ballard ; Disquieting features : an introductory tour of The atrocity exhibition ; From Shanghai to Shepperton : crises of representation in J.G. Ballard's Londons ; J.G. Ballard and the contemporary ; Mind is the battlefield : reading Ballard's 'Life trilogy' as war literature ; Situating the violence of J.G. Ballard's postmillennial fiction : the possibilities of sacrifice, the certainties of trauma ; The Gothic, the body, and the failed homeopathy argument : reading Crash ; The geometry of the space age : J.G. Ballard's short fiction and science fiction of the 1960s ; Visions of Europe in Cocaine nights and Super-Cannes","Contemporary critical perspectives","","England ; United States of America","London ; New York","Continuum","2008","","1 online resource (xvii, 151 pages)","823.914","ELD.DS.416813","Ballard, J. G, 1930-2009 ; LITERARY CRITICISM--European--English, Irish, Scottish, Welsh ; Ballard, James G ; Ballard, J. G, 1930-2009--Criticism and interpretation","Aufsatzsammlung ; Criticsm and interpretation","English","",""
"Baxter, John","1939-","person","","Baxter, John, 1939- [person]","015813334","Monograph","Language material ; Text","Volume","GBB161703","","9780297863526","The inner man : the life of J.G. Ballard","","","","England","London","Weidenfeld & Nicolson","2011","","377 pages, 16 pages of plates, illustrations (some colour), portraits (some colour), 24 cm","823.914","YK.2012.a.13855","Ballard, J. G, 1930-2009 ; Novelists, English--20th century--Biography","Biography","English","",""
"Baxter, John","1939-","person","","Baxter, John, 1939- [person]","016062793","Monograph","Language material ; Text","Volume","GBB233469","","9780297863533 ; 9780753828892","The inner man : the life of J.G. Ballard","","","","England","London","Phoenix","2012","","1 volume, illustrations (some colour), 20 cm","823.914","","Ballard, J. G, 1930-2009 ; Novelists, English--20th century--Biography","Biography","English","Originally published: London: Weidenfeld & Nicolson, 2011",""
"Beckett, Chris","1955-","person","editor","Ballard, J. G., 1930-2009, author [person] ; Beckett, Chris, 1955-, editor [person]","018263881","Monograph","Language material ; Text","Online resource (ePub ebook)","GBB745514","","9780008257316","Crash","","","","England","London","4th Estate","2017","Epub edition","1 online resource","823.914","ELD.DS.137742","Fiction and related items / Modern and contemporary fiction (post c. 1945) ; Fiction--Literary ; FICTION--Literary","","English","Additional physical form: Print version. 9780007287024 ; Previously issued in print: London: Jonathan Cape, 1973",""
"Berger, John Peter, author and art critic","1926-2017","person","correspondent","Jolley, Monica Elizabeth, writer, 1923-2007 [correspondent] ; Manning, Olivia Mary, author, 1908-1980 [correspondent] ; Atwood, Margaret Eleanor, Canadian author, 1939- [correspondent] ; Wilson, John Burgess, author and critic; pseudonym Anthony Burgess, 1917-1993 [correspondent] ; Howard, Marghanita, née Laski; writer and critic, 1915-1988 [correspondent] ; Jordan, Neil, filmmaker and novelist, 1950 [correspondent] ; Zinnemann, Frederick, Austrian-American film director, 1907-1997 [correspondent] ; Ballard, James Graham, writer, 1930-2009 [correspondent]","038-000000818","SubSubSeries. Archives and Manuscripts","","","","ark:/81055/vdc_100000000061.0x000113","","Angela Carter Papers: General correspondence of Angela Carter 1-2","","","","","","","1970-1992, nd","","2 files","","Western Manuscripts. Add MS 88899/3/1-2","","","English","General correspondence. Mostly typewritten and signed. Including letters from Margaret Atwood, J. G. Ballard, John Berger, Anthony Burgess, Elizabeth Jolley, Neil Jordan, Marghanita Laski, Olivia Manning, and Fred Zinnemann",""
"Black, Candice","","person","editor","Ballard, J. G., 1930-2009 [person] ; Black, Candice, editor [person] ; Ballard, J. G., 1930-2009, artist ; author ; interviewee [person]","016256756","Monograph","Language material ; Still image ; Text","Volume","GBB305811","","9780985762513","Terminal atrocity zone : Ballard","Advertiser's announcements ; Coitus 80 ; Journey across a crater","","","Thailand","Bangkok","Sun Vision","2013","","1 volume, black and white illustrations, 23 cm","823.914","","Science fiction, English ; Ballard, J. G, 1930-2009--Criticism and interpretation ; Ballard, J. G, 1930-2009--Interviews","Interview","English","",""
"Blake, Peter","1932-","person","","Paolozzi, Eduardo, 1924-2005 [person] ; Hockney, David, 1937- [person] ; Tavener, John, 1944-2013 [person] ; Blake, Peter, 1932- [person] ; Furnival, John, 1933- [person] ; Finch, Christopher [person] ; Logue, Christopher, 1926-2011 [person] ; Finlay, Ian Hamilton, 1925-2006 [person] ; Lennon, John, 1940-1980 [person] ; Ono, Yōko [person] ; Ballard, J. G. (James Graham), 1930-2009 [person] ; Robinson, David, 1936 Deapproximately 9- [person] ; Kosh, John [person] ; Clark, Ossie, 1942-1996 [person] ; Amaya, Mario, editor [person] ; Roaring Fork Press, publisher [organisation] ; Smith, Richard, 1931-2016, illustrator [person] ; Lucie-Smith, Edward [person] ; Instone, Michael [person]","018677669","Monograph","Language material ; Text","Volume","","","","Aspen 7 : British box in 15 sections ; (Spring-Summer [1969])","","","","United States of America","New York","Roaring Fork Press","1969","","1 box, 12 pieces, illustrations, 30 x 30 cm","","RF.2018.b.104","Conceptual art ; Concrete art ; Paolozzi, Eduardo, 1924-2005 ; Lennon, John, 1940-1980 ; Ono, Yōko ; Arts, English--20th century ; Artists' book--periodical--U.S.A--1969 ; Logue, Christopher, 1926-2011","Periodical","English","'Aspen is published quarterly by Roaring Fork Press ... Phyllis Johnson, editor and publisher--Inside box cover ; 'Compiled and edited by Mario Amaya ; designed by John Cosh ; cover by Richard Smith'--Inside box cover ; Artist's periodical consisting of a box (numbered 'Section 1, Aspen number 7') and containing various other part numbered 2-14 ; Exhibited in 'Aspen Magazine 1965-1971', Whitechapel Art Gallery, 11 September 2012 - 3 March 2013 ; Subtitle: 'British Box in 15 sections'",""
"Bollen, James H.","","person","photographer","Bollen, James H., photographer [person]","016867044","Monograph","Language material ; Still image ; Text","Volume","GBB4B5391","","9780992815707","Jim's terrible city : J.G. Ballard and Shanghai","","","","England","","James H. Bollen","2014","First edition","96 pages, chiefly illustrations (black and white and colour), 24 cm","779.451132","LC.31.a.15175","Shanghai (China)--Pictorial works ; Ballard, J. G, 1930-2009--Homes and haunts ; Photography, Artistic","Pictorial work","English","Limited edition of 1000 copies ; Title from cover",""
"Boyd, William","1952-","person","writer","Laing, Tim, illustrator [person] ; Ballard, J. G., 1930-2009, author [person] ; Boyd, William, 1952-, writer [person] ; Folio Society (London, England) [organisation]","018394316","Monograph","Language material ; Still image ; Text","Volume","GBB7F6365","","","Empire of the sun","","","","England","London","Folio Society","2017","","xiv, 278 pages, 4 leaves of plates, black and white illustrations, 1 map (black and white), 25 cm","823.914","Nov.2017/2094","","","English","'The text of this edition follows that of the first edition, with minor emendations'--Title page verso ; In slipcase ; Originally published: London : Victor Gollancz, 1984",""
"Brigg, Peter","","person","","Brigg, Peter [person]","005701239","Monographic component part","Language material ; Text","Volume","","","9780916732837 ; 9780916732844","J.G. Ballard","","","","United States of America","Mercer Island, Washington","Starmont House","1985","","","823.914","8436.050000","Science fiction, English--History and criticism ; Ballard, J. G, 1930-2009--Criticism and interpretation","","English","",""
"British Council","","organisation","","British Council [organisation] ; Delville, Michel, 1969- [person]","010082698","Monograph","Language material ; Text","Volume","GB98V4695","","9780746308677","Ballard, J.G","","Writers and their work","","England","Plymouth","British Council ; Northcote House","1998","","x, 102 pages, 1 portrait, 22 cm","823.914","YC.1999.a.1206 ; m03/20033","Ballard, J. G, 1930-2009--Criticism and interpretation","","English","",""
"British Film Institute","","organisation","","British Film Institute [organisation] ; Sinclair, Iain [person]","019934373","Monograph","Language material ; Text","Online resource","GBC0E5781","","9781838715168","Crash : David Cronenberg's post-mortem on J.G. Ballard's 'Trajectory of fate'","Atrocity Exhibitions -- ; Cronenberg's Crash -- ; J.G. Ballard and James Ballard -- ; Liquid Mirror: Ballard Dissolves to Cronenberg -- ; Novel as Audition Piece -- ; The Other Crash Films -- ; The Trajectory of Fate ; White Nights on the Bauhaus Balcony --","BFI modern classics","","England ; United Kingdom","London","British Film Institute","2019","","1 online resource (112 pages)","791.4372","ELD.DS.550757","Cronenberg, David, 1943- ; Crash (Cronenberg) ; Crash (Ballard, J. G.) ; Ballard, J. G, 1930-2009 ; Cronenberg, David, 1943---Criticism and interpretation ; Ballard, J. G. (James Graham), 1930- ; Crash (Film) ; Crash (Motion picture) ; Cronenberg, David, 1943---Critique et interprétation ; Crash (Motion picture : 1996)","Criticsm and interpretation","English","",""
"Brown, Richard","1954-","person","editor","Stainforth, Elizabeth, 1986-, editor [person] ; Brown, Richard, 1954-, editor [person] ; Duffy, Christopher, 1977-, editor [person]","017969260","Monograph","Language material ; Text","Volume","GBB6B0529","","9789004313859","J. G. Ballard : landscapes of tomorrow","","Dialogue","22 [Dialogue]","Netherlands","Boston ; Leiden","Brill","2016","","x, 160 pages, colour illustrations, 25 cm","823.914","YD.2016.a.2770","Ballard, J. G, 1930-2009--Criticism and interpretation","","English","Additional physical form: Online version. J. G. Ballard. Leiden ; Boston : Brill, [2016]. 9789004313866",""
"Butterworth, Michael, science fiction author and publisher","1947-","person","creator","Ballard, James Graham, writer, 1930-2009 [creator]","032-001606286","Fonds. Archives and Manuscripts","","","","ark:/81055/vdc_100000000035.0x000122","","Michael Butterworth and J G Ballard: Correspondence","","","","","","","1965-2011","","2 files","","Western Manuscripts. Add MS 88967","","","English","Correspondence between Michael Butterworth and J G Ballard, comprising 18 letters from Ballard to Butterworth and 3 letters from Butterworth to Ballard. The material falls naturally into two groups:. 1965-75 (fifteen letters from Ballard, prompted by Butterworth's submissions to Ballard in his capacity as prose editor of Ambit ; and two letters from Butterworth, both annotated in reply by Ballard); 1999-2005 (three letters from Ballard relating to Savoy Books matters, and one copy letter from Butterworth); In addition to the letters, Butterworth has supplied: a brief contextual commentary about them (2011); copies of his compositions referred to in the correspondence ('Concentrate 1', 'Concentrate 2' and 'Concentrate 3'); and a copy of the first issue of a small magazine edited by Butterworth called Concentrate (1968), publishing 'condensed writing'","The papers were received as a donation from Michael Butterworth on 13 April 2011. An additional letter from Ballard to Butterworth was received from Butterworth in July 2019"
"Clark, Ossie","1942-1996","person","","Paolozzi, Eduardo, 1924-2005 [person] ; Hockney, David, 1937- [person] ; Tavener, John, 1944-2013 [person] ; Blake, Peter, 1932- [person] ; Furnival, John, 1933- [person] ; Finch, Christopher [person] ; Logue, Christopher, 1926-2011 [person] ; Finlay, Ian Hamilton, 1925-2006 [person] ; Lennon, John, 1940-1980 [person] ; Ono, Yōko [person] ; Ballard, J. G. (James Graham), 1930-2009 [person] ; Robinson, David, 1936 Deapproximately 9- [person] ; Kosh, John [person] ; Clark, Ossie, 1942-1996 [person] ; Amaya, Mario, editor [person] ; Roaring Fork Press, publisher [organisation] ; Smith, Richard, 1931-2016, illustrator [person] ; Lucie-Smith, Edward [person] ; Instone, Michael [person]","018677669","Monograph","Language material ; Text","Volume","","","","Aspen 7 : British box in 15 sections ; (Spring-Summer [1969])","","","","United States of America","New York","Roaring Fork Press","1969","","1 box, 12 pieces, illustrations, 30 x 30 cm","","RF.2018.b.104","Conceptual art ; Concrete art ; Paolozzi, Eduardo, 1924-2005 ; Lennon, John, 1940-1980 ; Ono, Yōko ; Arts, English--20th century ; Artists' book--periodical--U.S.A--1969 ; Logue, Christopher, 1926-2011","Periodical","English","'Aspen is published quarterly by Roaring Fork Press ... Phyllis Johnson, editor and publisher--Inside box cover ; 'Compiled and edited by Mario Amaya ; designed by John Cosh ; cover by Richard Smith'--Inside box cover ; Artist's periodical consisting of a box (numbered 'Section 1, Aspen number 7') and containing various other part numbered 2-14 ; Exhibited in 'Aspen Magazine 1965-1971', Whitechapel Art Gallery, 11 September 2012 - 3 March 2013 ; Subtitle: 'British Box in 15 sections'",""
"Cord, Florian","","person","author","Cord, Florian, author [person]","018225059","Monograph","Language material ; Text","Volume","","","9783110487893 ; 9783110488302 ; 9783110490718","J.G. Ballard's politics : late capitalism, power and the pataphysics of resistance","","Buchreihe der Anglia Anglia Book Series","volume 54 [Buchreihe der Anglia Anglia Book Series]","Germany","Berlin","Gruyter","2017","","264 pages, 24 cm","","PP.5044.aa. (2) [Bd.54]","Ballard, J. G, 1930-2009--Political and social views","","English","",""
"Delville, Michel","1969-","person","","British Council [organisation] ; Delville, Michel, 1969- [person]","010082698","Monograph","Language material ; Text","Volume","GB98V4695","","9780746308677","Ballard, J.G","","Writers and their work","","England","Plymouth","British Council ; Northcote House","1998","","x, 102 pages, 1 portrait, 22 cm","823.914","YC.1999.a.1206 ; m03/20033","Ballard, J. G, 1930-2009--Criticism and interpretation","","English","",""
"Duffy, Christopher","1977-","person","editor","Stainforth, Elizabeth, 1986-, editor [person] ; Brown, Richard, 1954-, editor [person] ; Duffy, Christopher, 1977-, editor [person]","017969260","Monograph","Language material ; Text","Volume","GBB6B0529","","9789004313859","J. G. Ballard : landscapes of tomorrow","","Dialogue","22 [Dialogue]","Netherlands","Boston ; Leiden","Brill","2016","","x, 160 pages, colour illustrations, 25 cm","823.914","YD.2016.a.2770","Ballard, J. G, 1930-2009--Criticism and interpretation","","English","Additional physical form: Online version. J. G. Ballard. Leiden ; Boston : Brill, [2016]. 9789004313866",""
"Evans, Christopher Riche, psychologist, computer scientist, author","1931-1979","person","performer","Ballard, James Graham, writer, 1930-2009 [performer]","032-003384425","Fonds. Archives and Manuscripts","","","","ark:/81055/vdc_100049652033.0x000001","","J. G. Ballard: 'Crash! A Science Theatre Presentation for the ICA'","","","","","","","[1968]","","1 file (8 ff.) ; 8 folios, each 10 x 8 inches","","Western Manuscripts. Add MS 89275","","","English","Eight typed sheets (appear to be carbon copies) outlining a multi-media 'theatre presentation' to be performed at the Institute of Contemporary Arts, London:. 'The play is expressed through (1) a continuous film projection of automobiles in all their roles, from show-room to car-wash, motorway to Kennedy assassination, the Mansfield death to the car-crusher; (2) a crashed car on-stage, surrounded by plaster dummies, forming a Keinholz-type [sic] tableau; (3) a narrative space involving five actors' (ff.. 2-3). The artist referred to in this description is Edward Kienholz (1927-1994). The performance, to be narrated by Chris Evans, did not take place, although it was publicised in advance in a feature article in the Sunday Mirror (19 May 1968) by June Rose: 'Dr Christopher Evans, an experimental psychologist, and science fiction writer James Ballard have spent many months exploring the 'hidden meaning' of car accidents for their dramatic presentation entitled Crash [...] Sculptor Eduoard Palozzi [sic] will make the dummy figures for Crash, and Dr Evans will narrate and explain the significance of the action on stage.'. Each folio is stamped 'Dr Chris Evans'. The document is not dated, but reference in the text to the fatal crash of racing driver Jim Clark (see f. 6, the name misspelt as 'Clarke') indicates that the document was completed after 7 April 1968","Donated by Nancy Evans (widow of Christopher Evans), 13 July 2017"
"Finch, Christopher","","person","","Paolozzi, Eduardo, 1924-2005 [person] ; Hockney, David, 1937- [person] ; Tavener, John, 1944-2013 [person] ; Blake, Peter, 1932- [person] ; Furnival, John, 1933- [person] ; Finch, Christopher [person] ; Logue, Christopher, 1926-2011 [person] ; Finlay, Ian Hamilton, 1925-2006 [person] ; Lennon, John, 1940-1980 [person] ; Ono, Yōko [person] ; Ballard, J. G. (James Graham), 1930-2009 [person] ; Robinson, David, 1936 Deapproximately 9- [person] ; Kosh, John [person] ; Clark, Ossie, 1942-1996 [person] ; Amaya, Mario, editor [person] ; Roaring Fork Press, publisher [organisation] ; Smith, Richard, 1931-2016, illustrator [person] ; Lucie-Smith, Edward [person] ; Instone, Michael [person]","018677669","Monograph","Language material ; Text","Volume","","","","Aspen 7 : British box in 15 sections ; (Spring-Summer [1969])","","","","United States of America","New York","Roaring Fork Press","1969","","1 box, 12 pieces, illustrations, 30 x 30 cm","","RF.2018.b.104","Conceptual art ; Concrete art ; Paolozzi, Eduardo, 1924-2005 ; Lennon, John, 1940-1980 ; Ono, Yōko ; Arts, English--20th century ; Artists' book--periodical--U.S.A--1969 ; Logue, Christopher, 1926-2011","Periodical","English","'Aspen is published quarterly by Roaring Fork Press ... Phyllis Johnson, editor and publisher--Inside box cover ; 'Compiled and edited by Mario Amaya ; designed by John Cosh ; cover by Richard Smith'--Inside box cover ; Artist's periodical consisting of a box (numbered 'Section 1, Aspen number 7') and containing various other part numbered 2-14 ; Exhibited in 'Aspen Magazine 1965-1971', Whitechapel Art Gallery, 11 September 2012 - 3 March 2013 ; Subtitle: 'British Box in 15 sections'",""
"Finlay, Ian Hamilton","1925-2006","person","","Paolozzi, Eduardo, 1924-2005 [person] ; Hockney, David, 1937- [person] ; Tavener, John, 1944-2013 [person] ; Blake, Peter, 1932- [person] ; Furnival, John, 1933- [person] ; Finch, Christopher [person] ; Logue, Christopher, 1926-2011 [person] ; Finlay, Ian Hamilton, 1925-2006 [person] ; Lennon, John, 1940-1980 [person] ; Ono, Yōko [person] ; Ballard, J. G. (James Graham), 1930-2009 [person] ; Robinson, David, 1936 Deapproximately 9- [person] ; Kosh, John [person] ; Clark, Ossie, 1942-1996 [person] ; Amaya, Mario, editor [person] ; Roaring Fork Press, publisher [organisation] ; Smith, Richard, 1931-2016, illustrator [person] ; Lucie-Smith, Edward [person] ; Instone, Michael [person]","018677669","Monograph","Language material ; Text","Volume","","","","Aspen 7 : British box in 15 sections ; (Spring-Summer [1969])","","","","United States of America","New York","Roaring Fork Press","1969","","1 box, 12 pieces, illustrations, 30 x 30 cm","","RF.2018.b.104","Conceptual art ; Concrete art ; Paolozzi, Eduardo, 1924-2005 ; Lennon, John, 1940-1980 ; Ono, Yōko ; Arts, English--20th century ; Artists' book--periodical--U.S.A--1969 ; Logue, Christopher, 1926-2011","Periodical","English","'Aspen is published quarterly by Roaring Fork Press ... Phyllis Johnson, editor and publisher--Inside box cover ; 'Compiled and edited by Mario Amaya ; designed by John Cosh ; cover by Richard Smith'--Inside box cover ; Artist's periodical consisting of a box (numbered 'Section 1, Aspen number 7') and containing various other part numbered 2-14 ; Exhibited in 'Aspen Magazine 1965-1971', Whitechapel Art Gallery, 11 September 2012 - 3 March 2013 ; Subtitle: 'British Box in 15 sections'",""
