"Topic","Type of topic","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Genre","Languages","Notes","Provenance"
"English fiction","general term","010708061","Monograph","Language material ; Text","Volume","GB9225918","","9780586210994","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The kindness of women","","","","England","","Grafton","1992","","348 pages","823.914","H.92/1725","","English","",""
"English fiction","general term","011643445","Monograph","Language material ; Text","Volume","GB9450276","","9780586045039","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Low-flying aircraft and other stories","","","","England","London","Flamingo","1992","","190 pages","823.914","","","English","",""
"English fiction","general term","017403674","Monograph","Language material ; Text","Volume","","","9783837622027","Mieszkowski, Sylvia","","person","author","Mieszkowski, Sylvia, author [person]","Resonant alterities : sound, desire and anxiety in non-realist fiction","","Cultural and media studies","","Germany","Bielefeld","Transcript","2014","","402 pages, 23 cm","823.8","YD.2015.a.1333","Criticsm and interpretation","English","Additional physical form: 9783839422021",""
"English fiction--20th century","general term","007452739","Monograph","Language material ; Text","Volume","GB9406030","","9781857990263","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The drowned world","","","","England","London","Phoenix","1993","","175 pages","823.914","H.94/2646","","English","",""
"English fiction--20th century--History and criticism","general term","016421208","Monograph","Language material ; Text","Volume","GBB5G7481","","9781472513038","Francis, Samuel","","person","author ; lecturer","Francis, Samuel, author ; lecturer [person]","The psychological fictions of J.G. Ballard","","Continuum literary studies series","","England","London","Continuum","2011","","202 pages, 24 cm","823.914","","","English","",""
"English fiction--20th century--History and criticism","general term","018841974","Monograph","Language material ; Text","Online resource","GBB879538","","9781441182401","Francis, Samuel","","person","author ; lecturer","Francis, Samuel, author ; lecturer [person]","The psychological fictions of J.G. Ballard","","Continuum literary studies series","","England ; United Kingdom","London","Continuum","2011","","1 online resource (210 pages)","823.914","ELD.DS.278199","","English","",""
"English fiction--21st century--History and criticism","general term","016421208","Monograph","Language material ; Text","Volume","GBB5G7481","","9781472513038","Francis, Samuel","","person","author ; lecturer","Francis, Samuel, author ; lecturer [person]","The psychological fictions of J.G. Ballard","","Continuum literary studies series","","England","London","Continuum","2011","","202 pages, 24 cm","823.914","","","English","",""
"English fiction--21st century--History and criticism","general term","018841974","Monograph","Language material ; Text","Online resource","GBB879538","","9781441182401","Francis, Samuel","","person","author ; lecturer","Francis, Samuel, author ; lecturer [person]","The psychological fictions of J.G. Ballard","","Continuum literary studies series","","England ; United Kingdom","London","Continuum","2011","","1 online resource (210 pages)","823.914","ELD.DS.278199","","English","",""
"English fiction--History and criticism","general term","017403674","Monograph","Language material ; Text","Volume","","","9783837622027","Mieszkowski, Sylvia","","person","author","Mieszkowski, Sylvia, author [person]","Resonant alterities : sound, desire and anxiety in non-realist fiction","","Cultural and media studies","","Germany","Bielefeld","Transcript","2014","","402 pages, 23 cm","823.8","YD.2015.a.1333","Criticsm and interpretation","English","Additional physical form: 9783839422021",""
"English fiction--Short stories","general term","007452727","Monograph","Language material ; Text","Volume","GB9335112","","9781857990003","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The voices of time","","","","England","London","Orion","1992","","197 pages","823.914","H.93/2487","","English","",""
"English fiction--Short stories","general term","007452730","Monograph","Language material ; Text","Volume","GB9337132","","9781857990058","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Vermilion sands","","","","England","","Phoenix","1992","","208 pages","823.914","H.93/2658","","English","",""
"English fiction--Short stories","general term","007741967","Monograph","Language material ; Text","Volume","GB9152763","","9780002237703","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","War fever","","","","England","","Paladin","1991","","176 pages","823.914","","","English","",""
"English fiction--Short stories","general term","009747114","Monograph","Language material ; Text","Volume","GB9455303","","9781857990218","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The terminal beach","","","","England","London","Phoenix","1993","","220 pages","823.914","","","English","",""
"English fiction--Short stories","general term","010662111","Monograph","Language material ; Text","Volume","GB9428812","","9780099334712","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Myths of the near future","","","","England","London","Vintage","1994","","205 pages","823.914","H.94/959","","English","",""
"English fiction--Short stories","general term","011643450","Monograph","Language material ; Text","Volume","GB9344140","","9780586051870","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The venus hunters","","","","England","London","Flamingo","1992","","142 pages","823.914","","","English","",""
"English literature--20th century","general term","013056102","Monograph","Language material ; Text","Volume","GBA500039","","","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","News from the sun","","","","England","London","Interzone","1982","","26 pages, 21 cm","823.914","YD.2005.a.1980 ; YD.2005.a.98","","English","",""
"English literature--Study and teaching (Secondary)--Great Britain","general term","007375349","Monograph","Language material ; Text","Volume","GB8931860","","9780435164188","Hales, Sheila","","person","","Hales, Sheila [person] ; Ballard, J. G., 1930-2009 [person]","Empire of the sun, J.G. Ballard","Empire of the sun","Heinemann fiction project ; Teaching strategies for literature and language","","England","Oxford","Heinemann","1989","","48 pages, illustrations, 30 cm","823.0071241","Cup.936/1086","","English","In plastic slip case",""
"English prose--Essays","general term","008720158","Monograph","Language material ; Text","Volume","GB9607631","","9780002555524","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","A user's guide to the millennium : essays and reviews","","","","England","London","HarperCollins","1996","","304 pages, 24 cm","824.914","96/07398 ; YK.1996.b.1967","","English","",""
"Erlich, Leandro, 1973---Exhibitions","person","013035790","Monograph","Language material ; Text","Volume","","","9782868479747","","","","","Ballard, J. G., 1930-2009 [person] ; Galerie Art & essai [organisation]","Doubtiful, dans les plis du réel : Gilles Barbier, François Curlet, Leandro Erlich, Carsten Höller, Didier Marcel, Aernout Mik, Amy O'Neil, Cerith Wyn Evans","","Collection Métiers de l'exposition","","France","Rennes","Presses universitaires de Rennes","2004","","144 pages, colour illustrations, 23 cm","","YF.2005.a.15715","Exhibition","French","'Publication éditée à l'occasion de l'exposition présentée à la galerie art et essai de l'université Rennes 2 du 19 mai au 26 juin 2004'--Prelim. p",""
"Evans, Cerith Wyn, 1958---Exhibitions","person","013035790","Monograph","Language material ; Text","Volume","","","9782868479747","","","","","Ballard, J. G., 1930-2009 [person] ; Galerie Art & essai [organisation]","Doubtiful, dans les plis du réel : Gilles Barbier, François Curlet, Leandro Erlich, Carsten Höller, Didier Marcel, Aernout Mik, Amy O'Neil, Cerith Wyn Evans","","Collection Métiers de l'exposition","","France","Rennes","Presses universitaires de Rennes","2004","","144 pages, colour illustrations, 23 cm","","YF.2005.a.15715","Exhibition","French","'Publication éditée à l'occasion de l'exposition présentée à la galerie art et essai de l'université Rennes 2 du 19 mai au 26 juin 2004'--Prelim. p",""
"FICTION / Medical","general term","018277852","Monograph","Language material ; Text","Online resource (ePub ebook)","GBB756979","","9780007513628","Ballard, J. G.","1930-2009","person","author","Ballard, J. G., 1930-2009, author [person]","The disaster area","","","","England","London","Collins Flamingo","2017","EPub edition","1 online resource","823.914","ELD.DS.295941","","English","",""
"FICTION / Short Stories (single author)","general term","018277852","Monograph","Language material ; Text","Online resource (ePub ebook)","GBB756979","","9780007513628","Ballard, J. G.","1930-2009","person","author","Ballard, J. G., 1930-2009, author [person]","The disaster area","","","","England","London","Collins Flamingo","2017","EPub edition","1 online resource","823.914","ELD.DS.295941","","English","",""
"FICTION / Short Stories (single author)","general term","018511696","Monograph","Language material ; Text","Online resource","GBB7H3224","","9781446420041","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Vermilion Sands","","","","England ; United Kingdom","London","Vintage Digital","2010","","1 online resource (208 pages)","823.914","ELD.DS.183677","","English","",""
"FICTION--Literary","general term","018263881","Monograph","Language material ; Text","Online resource (ePub ebook)","GBB745514","","9780008257316","Ballard, J. G.","1930-2009","person","author","Ballard, J. G., 1930-2009, author [person] ; Beckett, Chris, 1955-, editor [person]","Crash","","","","England","London","4th Estate","2017","Epub edition","1 online resource","823.914","ELD.DS.137742","","English","Additional physical form: Print version. 9780007287024 ; Previously issued in print: London: Jonathan Cape, 1973",""
"Feminists--Fiction","general term","016659368","Monograph","Language material ; Text","Volume","","","9780312131647 ; 9780312134150","Ballard, J. G.","1930-2009","person","author","Ballard, J. G., 1930-2009, author [person]","Rushing to paradise","","","","United States of America","New York","Picador USA","1995","1st Picador USA edition","238 pages, 22 cm","823.914","YD.2014.a.1226","Humour or satire ; Utopian fiction","English","",""
"Fiction and related items / Fiction: special features / Short stories","general term","018277852","Monograph","Language material ; Text","Online resource (ePub ebook)","GBB756979","","9780007513628","Ballard, J. G.","1930-2009","person","author","Ballard, J. G., 1930-2009, author [person]","The disaster area","","","","England","London","Collins Flamingo","2017","EPub edition","1 online resource","823.914","ELD.DS.295941","","English","",""
"Fiction and related items / Modern and contemporary fiction (post c. 1945)","general term","018263881","Monograph","Language material ; Text","Online resource (ePub ebook)","GBB745514","","9780008257316","Ballard, J. G.","1930-2009","person","author","Ballard, J. G., 1930-2009, author [person] ; Beckett, Chris, 1955-, editor [person]","Crash","","","","England","London","4th Estate","2017","Epub edition","1 online resource","823.914","ELD.DS.137742","","English","Additional physical form: Print version. 9780007287024 ; Previously issued in print: London: Jonathan Cape, 1973",""
"Fiction in English","general term","007361952","Monograph","Language material ; Text","Volume","GB7530630","","9780224011686","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","High-rise","","","","England","London","Cape","1975","","2, 204 pages, 21 cm","823.91","Nov.30822","Science fiction","English","",""
"Fiction in English","general term","007362338","Monograph","Language material ; Text","Volume","GB7925384","","9780224017428","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The unlimited dream company","","","","England","London","Cape","1979","","223 pages, 21 cm","823.91","Nov.39516","","English","",""
"Fiction in English","general term","007681093","Monograph","Language material ; Text","Volume","GB7415563","","9780140022292","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The drowned world","","Science fiction","","England","Harmondsworth","Penguin","1974","","171 pages, 18 cm","823.91","","","English","Originally published: New York : Berkley, 1962 ; London : Gollancz, 1963",""
"Fiction in English","general term","007681133","Monograph","Language material ; Text","Volume","GB7415564","","9780140025910","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The wind from nowhere","","Science fiction","","England","Harmondsworth","Penguin","1974","","186 pages, 18 cm","823.91","","","English","Originally published: U.S.A. : [s.n.], 1962 ; Harmondsworth : Penguin, 1967",""
"Fiction in English","general term","007681141","Monograph","Language material ; Text","Volume","GB7415562","","9780140027532","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The drought","","Science fiction","","England","Harmondsworth","Penguin","1974","","176 pages, 18 cm","823.91","","","English","Originally published: London : Cape, 1965",""
"Fiction in English","general term","007688047","Monograph","Language material ; Text","Volume","GB7409901","","9780224009706","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Concrete island","","","","England","London","Cape","1974","","176 pages, 21 cm","823.91","75/7540","Science fiction","English","",""
"Fiction in English","general term","009078374","Monograph","Language material ; Text","Volume","GB7821496","","9780586024195","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The crystal world","","","","England","London","Triad","1978","","175 pages, 18 cm","823.91","","","English","Originally published: London : Cape, 1966",""
"Fiction in English","general term","009078399","Monograph","Language material ; Text","Volume","GB7723710","","9780586044568","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","High-rise","","","","England","St Albans","Triad","1977","","173 pages, 18 cm","823.91","","","English","Originally published: London : Cape, 1975",""
"Fiction in English","general term","009685419","Monograph","Language material ; Text","Volume","GB7521131","","9780586041055","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Crash","","","","England","St Albans","Panther","1975","","192 pages, 18 cm","823.91","","","English","Originally published: London : Cape, 1973",""
"Fiction in English","general term","009685420","Monograph","Language material ; Text","Volume","GB7618445","","9780586041062","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Concrete island","","","","England","St Albans","Panther","1976","","176 pages, 18 cm","823.91","","","English","Originally published: London : Cape, 1974",""
"Fiction in English","general term","009685432","Monograph","Language material ; Text","Volume","GB7621406","","9780586041611","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Vermilion sands","","Panther science fiction","","England","Frogmore","Panther","1975","","208 pages, 18 cm","823.91","","","English","This collection originally published: London : Cape, 1973",""
"Fiction in English","general term","010544904","Monograph","Language material ; Text","Volume","GB7922753","","9780586035740","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The atrocity exhibition","","","","England","St Albans","Triad","1979","","139 pages, 18 cm","823.91","H.79/2281","","English","Originally published: London : Cape, 1970",""
"Fiction in English","general term","010705361","Monograph","Language material ; Text","Volume","GB7824520","","9780586045046","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The drought","","","","England","St Albans","Triad","1978","","188 pages, 18 cm","823.91","YC.1986.a.1777","","English","Originally published: London : Cape, 1965",""
"Fiction in English","general term","014624379","Monograph","Language material ; Text","Volume","GBA877098","","9780586089958","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The Unlimited Dream Company","","","","England","London","HarperPerennial","2008","","220, 16 pages, 20 cm","823.92","H.2008/2534","Fantasy","English","Includes 16 p. interview section ; Originally published by Jonathan Cape, 1979",""
"Fiction in English","general term","017847370","Monograph","Language material ; Text","Online resource","GBB6F6382","","9780007382910","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","High-rise","","","","Australia","Sydney","Fourth Estate","2014","","1 online resource","823.914","ELD.DS.60012","Fiction","English","Fiction",""
"Fiction in English, 1900---Texts","general term","007681093","Monograph","Language material ; Text","Volume","GB7415563","","9780140022292","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The drowned world","","Science fiction","","England","Harmondsworth","Penguin","1974","","171 pages, 18 cm","823.91","","","English","Originally published: New York : Berkley, 1962 ; London : Gollancz, 1963",""
"Fiction in English, 1900---Texts","general term","007681133","Monograph","Language material ; Text","Volume","GB7415564","","9780140025910","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The wind from nowhere","","Science fiction","","England","Harmondsworth","Penguin","1974","","186 pages, 18 cm","823.91","","","English","Originally published: U.S.A. : [s.n.], 1962 ; Harmondsworth : Penguin, 1967",""
"Fiction in English, 1900---Texts","general term","007681141","Monograph","Language material ; Text","Volume","GB7415562","","9780140027532","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The drought","","Science fiction","","England","Harmondsworth","Penguin","1974","","176 pages, 18 cm","823.91","","","English","Originally published: London : Cape, 1965",""
"Fiction in English, 1900---Texts","general term","007687914","Monograph","Language material ; Text","Volume","GB7316846","","9780224007825","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Crash","","","","England","London","Cape","1973","","224 pages, 21 cm","823.91","","Fiction","English","",""
"Fiction in English, 1900---Texts","general term","007688047","Monograph","Language material ; Text","Volume","GB7409901","","9780224009706","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Concrete island","","","","England","London","Cape","1974","","176 pages, 21 cm","823.91","75/7540","Science fiction","English","",""
"Fiction in English, 1900---Texts","general term","009078374","Monograph","Language material ; Text","Volume","GB7821496","","9780586024195","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The crystal world","","","","England","London","Triad","1978","","175 pages, 18 cm","823.91","","","English","Originally published: London : Cape, 1966",""
"Fiction in English, 1900---Texts","general term","009078399","Monograph","Language material ; Text","Volume","GB7723710","","9780586044568","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","High-rise","","","","England","St Albans","Triad","1977","","173 pages, 18 cm","823.91","","","English","Originally published: London : Cape, 1975",""
"Fiction in English, 1900---Texts","general term","009685419","Monograph","Language material ; Text","Volume","GB7521131","","9780586041055","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Crash","","","","England","St Albans","Panther","1975","","192 pages, 18 cm","823.91","","","English","Originally published: London : Cape, 1973",""
"Fiction in English, 1900---Texts","general term","009685420","Monograph","Language material ; Text","Volume","GB7618445","","9780586041062","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Concrete island","","","","England","St Albans","Panther","1976","","176 pages, 18 cm","823.91","","","English","Originally published: London : Cape, 1974",""
"Fiction in English, 1900---Texts","general term","009685432","Monograph","Language material ; Text","Volume","GB7621406","","9780586041611","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Vermilion sands","","Panther science fiction","","England","Frogmore","Panther","1975","","208 pages, 18 cm","823.91","","","English","This collection originally published: London : Cape, 1973",""
"Fiction in English, 1900---Texts","general term","009938050","Monograph","Language material ; Text","Volume","GB7300403","","9780586035740","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The atrocity exhibition","","","","England","London","Panther","1972","","139 pages, 18 cm","823.91","H.73/13","","English","Originally published, London: Cape, 1970",""
"Fiction in English--1900---Texts","general term","007361952","Monograph","Language material ; Text","Volume","GB7530630","","9780224011686","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","High-rise","","","","England","London","Cape","1975","","2, 204 pages, 21 cm","823.91","Nov.30822","Science fiction","English","",""
"Fiction in English--1900---Texts","general term","007362338","Monograph","Language material ; Text","Volume","GB7925384","","9780224017428","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The unlimited dream company","","","","England","London","Cape","1979","","223 pages, 21 cm","823.91","Nov.39516","","English","",""
"Fiction in English--1900---Texts","general term","010544904","Monograph","Language material ; Text","Volume","GB7922753","","9780586035740","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The atrocity exhibition","","","","England","St Albans","Triad","1979","","139 pages, 18 cm","823.91","H.79/2281","","English","Originally published: London : Cape, 1970",""
"Fiction in English--1900---Texts","general term","010705361","Monograph","Language material ; Text","Volume","GB7824520","","9780586045046","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The drought","","","","England","St Albans","Triad","1978","","188 pages, 18 cm","823.91","YC.1986.a.1777","","English","Originally published: London : Cape, 1965",""
"Fiction in English--1945-","general term","011818370","Monograph","Language material ; Text","Volume","GB8846166","","","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Why I want to fuck Ronald Reagan","","","","England","","Plashet","1988","","7 leaves","823.914","Cup.410.f.293","","English","",""
"Fiction in English--1945---Texts","general term","007362469","Monograph","Language material ; Text","Volume","GB8104296","","9780224019149","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Hello America","","","","England","London","Cape","1981","","224 pages, 21 cm","823.91 ; 823.914","Nov.43469","Science fiction","English","",""
"Fiction in English--1945---Texts","general term","007364210","Monograph","Language material ; Text","Volume","GB8421509","","9780224609524","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The drought","","","","England","London","Cape","1984","","252 pages, 20 cm","823.914","Nov.52680","","English","",""
"Fiction in English--1945---Texts","general term","007364211","Monograph","Language material ; Text","Volume","GB8421510","","9780224610445","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The crystal world","","","","England","London","Cape","1984","","221 pages, 20 cm","823.914","Nov.52689","","English","",""
"Fiction in English--1945---Texts","general term","007364214","Monograph","Language material ; Text","Volume","GB8421511","","9780224611886","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The disaster area","","","","England","London","Cape","1984","","206 pages, 20 cm","823.914","Nov.52690","","English","",""
"Fiction in English--1945---Texts","general term","007375120","Monograph","Language material ; Text","Volume","GB8903181","","9780435123420","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Empire of the sun","","","","England","","Heinemann","1989","","269 pages","823.914","Nov.1989/991","","English","",""
"Fiction in English--1945---Texts","general term","007390693","Monograph","Language material ; Text","Volume","GB8325067","","9780460022576","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The drowned world","","Everyman fiction","","England","London","Dent","1983","","175 pages, 20 cm","823.914","12206.p.1/1385","","English","Originally published: London : Gollancz, 1962",""
"Fiction in English--1945---Texts","general term","007390700","Monograph","Language material ; Text","Volume","GB8400816","","9780460022651","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The terminal beach","","Everyman fiction","","England","London","Dent","1984","","220 pages, 20 cm","823.914","12206p.1/1393","","English","Originally published: London : Gollancz, 1964",""
"Fiction in English--1945---Texts","general term","007390701","Monograph","Language material ; Text","Volume","GB8421716","","9780460022668","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The voices of time","The four-dimensional nightmare","Everyman fiction","","England","London","Dent","1984","","197 pages, 20 cm","823.914","X.958/25866","","English","Originally published: London : Gollancz, 1963",""
"Fiction in English--1945---Texts","general term","007390710","Monograph","Language material ; Text","Volume","GB8501473","","9780460022774","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Vermilion Sands","","Everyman fiction","","England","London","Dent","1985","","208 pages, 20 cm","823.914","X.958/29260","","English","Originally published: London : Cape, 1971",""
"Fiction in English--1945---Texts","general term","008718046","Monograph","Language material ; Text","Volume","GB9026534","","9780002237703","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","War fever","","","","England","","Collins","1990","","224 pages","823.914","YC.1990.b.7325","","English","",""
"Fiction in English--1945---Texts","general term","010077516","Monograph","Language material ; Text","Volume","GB8421998","","9780575034839","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Empire of the sun","","","","England","London","Gollancz","1984","","278 pages, 1 map, 24 cm","823.914","Nov.52378","","English","",""
"Fiction in English--1945---Texts","general term","010077750","Monograph","Language material ; Text","Volume","GB8613737","","9780575037717","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The Venus hunters","","","","England","London","Gollancz","1986","","142 pages, 23 cm","823.914","YC.1987.a.1341","","English","Originally published: London : Granada, 1980",""
"Fiction in English--1945---Texts","general term","010078059","Monograph","Language material ; Text","Volume","GB8732026","","9780575041523","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The day of creation","","","","England","London","Gollancz","1987","","256 pages, 24 cm","823.914","Nov.1987/2250","Fiction","English","",""
"Fiction in English--1945---Texts","general term","010655632","Monograph","Language material ; Text","Volume","GB8855655","","9780091734985","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Running wild","","","","England","","Century Hutchinson","1988","","80 pages","823.914","Nov.1989/213","","English","",""
"Fiction in English--1945---Texts","general term","010705702","Monograph","Language material ; Text","Volume","GB8209543","","9780586052051","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The unlimited dream company","","","","England","London","Granada ; Triad","1981","","220 pages, 18 cm","823.91 ; 823.914","H.82/351","","English","Originally published: London : Cape, 1979",""
"Fiction in English--1945---Texts","general term","010705836","Monograph","Language material ; Text","Volume","GB8340198","","9780586055717","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Hello America","","","","England","London","Triad","1983","","236 pages, 18 cm","823.914","H.83/1143","","English","Originally published: London : Cape, 1981",""
"Fiction in English--1945---Texts","general term","010706231","Monograph","Language material ; Text","Volume","GB8644335","","9780586064306","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Empire of the sun","","","","England","London","Panther","1985","","351 pages, 1 map, 18 cm","823.914","H.86/49 ; VGR/1513 ; YK.1990.a.130","","English","Originally published: London : Gollancz, 1984",""
"Fiction in English--1945---Texts","general term","011643603","Monograph","Language material ; Text","Volume","GB8859305","","9780586201008","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The day of creation","","","","England","","Grafton","1988","","287 pages","823.91 ; 823.914","","","English","",""
"Fiction in English--1945---Texts","general term","012300198","Monograph","Language material ; Text","Volume","GB8603258","","9780586045046","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The drought","","","","England","London","Triad","1985","","188 pages, 20 cm","823.91 ; 823.914","","","English","Originally published: London : Cape, 1965",""
"Fiction in English--1945---Texts","general term","012305385","Monograph","Language material ; Text","Sheet","GB8826625","","9780708984802","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","The day of creation","","","","England","","Charnwood","1988","","384 pages (large print)","823.91 ; 823.914","","","English","",""
"Fiction in English--1945---Texts","general term","012636128","Monograph","Language material ; Text","Volume","GB8517319","","9780708982709","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Empire of the sun","","Charnwood large type ; Charnwood library series","","England","Leicester","Charnwood","1985","","465 pages, 1 map, 23 cm","823.914","Nov.54627","","English","Originally published: London : Gollancz, 1984 ; Published in large print",""
"Fiction in English--Ballard, J--G--1930-","general term","012013536","Monograph","Language material ; Text","Volume","","","9780893701383 ; 9780893702380","Pringle, David","","person","","Pringle, David [person]","Earth is the alien planet : J. G. Ballard's four-dimensional nightmare","","Popular writers of today ; The Milford series","volume 26 [Popular writers of today]","United States of America","San Bernardino, California","Borgo Press","1979","","63 pages, illustrations, 22 cm","823.914","6551.700000 ; YA.1986.a.2170","","English","",""
"Fiction in English--Ballard, J--G--James Graham--1930-","general term","006742115","Monograph","Language material ; Text","Volume","GB7633565","","9780905220031 ; 9780905220048","","","","","Gregory, Carol [person] ; Ballard, J. G., 1930-2009 [person] ; Pringle, David, 1950- [person] ; Goddard, James [person]","J.G. Ballard, the first twenty years","","","","England","Hayes ; Wimborne Ave, Hayes, Middlesex","Bran's Head","1976","","10, 76, 24 pages, illustrations, 1 portrait, 22 cm","823.914","X.989/51000","","English","",""
"Fiction","general term","018511696","Monograph","Language material ; Text","Online resource","GBB7H3224","","9781446420041","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","Vermilion Sands","","","","England ; United Kingdom","London","Vintage Digital","2010","","1 online resource (208 pages)","823.914","ELD.DS.183677","","English","",""
"Fiction--General","general term","017847370","Monograph","Language material ; Text","Online resource","GBB6F6382","","9780007382910","Ballard, J. G.","1930-2009","person","","Ballard, J. G., 1930-2009 [person]","High-rise","","","","Australia","Sydney","Fourth Estate","2014","","1 online resource","823.914","ELD.DS.60012","Fiction","English","Fiction",""
"Fiction--Literary","general term","018263881","Monograph","Language material ; Text","Online resource (ePub ebook)","GBB745514","","9780008257316","Ballard, J. G.","1930-2009","person","author","Ballard, J. G., 1930-2009, author [person] ; Beckett, Chris, 1955-, editor [person]","Crash","","","","England","London","4th Estate","2017","Epub edition","1 online resource","823.914","ELD.DS.137742","","English","Additional physical form: Print version. 9780007287024 ; Previously issued in print: London: Jonathan Cape, 1973",""
"Fiction--Study and teaching (Secondary)--Great Britain","general term","007375349","Monograph","Language material ; Text","Volume","GB8931860","","9780435164188","Hales, Sheila","","person","","Hales, Sheila [person] ; Ballard, J. G., 1930-2009 [person]","Empire of the sun, J.G. Ballard","Empire of the sun","Heinemann fiction project ; Teaching strategies for literature and language","","England","Oxford","Heinemann","1989","","48 pages, illustrations, 30 cm","823.0071241","Cup.936/1086","","English","In plastic slip case",""
